# Time	forces(pressure, viscous) moment(pressure, viscous)
29	(((2.64553e-07 3.94238e-09 1.21322e-15) (6.40314e-07 -1.13805e-10 1.56503e-11)) ((-1.23413e-11 -3.67971e-12 4.60509e-16) (-4.61784e-13 4.74537e-12 -6.55367e-10)))
30	(((2.62878e-07 3.85372e-09 1.17241e-15) (6.15052e-07 -1.30173e-10 1.31462e-11)) ((-1.17039e-11 -3.61241e-12 4.45417e-16) (-5.95757e-13 4.78982e-12 -6.28262e-10)))
31	(((2.61495e-07 3.75116e-09 1.05172e-15) (5.9133e-07 -1.497e-10 1.26155e-11)) ((-1.10318e-11 -3.65954e-12 4.29743e-16) (-7.26667e-13 4.844e-12 -6.02581e-10)))
32	(((2.6006e-07 3.70134e-09 1.0016e-15) (5.68997e-07 -1.71662e-10 1.39297e-11)) ((-1.04129e-11 -3.69301e-12 4.18408e-16) (-9.57472e-13 4.9146e-12 -5.78342e-10)))
33	(((2.58502e-07 3.72322e-09 9.33756e-16) (5.47957e-07 -1.94919e-10 1.12962e-11)) ((-1.0016e-11 -3.86756e-12 4.10836e-16) (-1.11558e-12 4.95466e-12 -5.55455e-10)))
34	(((2.56966e-07 3.72859e-09 8.94036e-16) (5.28128e-07 -2.16941e-10 9.68613e-12)) ((-9.69609e-12 -4.0446e-12 4.01282e-16) (-1.10885e-12 4.9332e-12 -5.33857e-10)))
35	(((2.55514e-07 3.64409e-09 8.58506e-16) (5.09433e-07 -2.38274e-10 7.22356e-12)) ((-9.17622e-12 -4.30076e-12 3.952e-16) (-1.05996e-12 4.96292e-12 -5.13332e-10)))
36	(((2.54142e-07 3.54394e-09 8.29877e-16) (4.91777e-07 -2.56955e-10 6.56105e-12)) ((-8.38199e-12 -4.61074e-12 3.82062e-16) (-1.15074e-12 4.93336e-12 -4.93899e-10)))
37	(((2.52789e-07 3.4547e-09 7.79838e-16) (4.75079e-07 -2.76064e-10 6.28538e-12)) ((-7.69711e-12 -4.77834e-12 3.72387e-16) (-1.23471e-12 4.90931e-12 -4.75495e-10)))
38	(((2.51463e-07 3.36862e-09 7.53915e-16) (4.59264e-07 -2.96453e-10 6.29897e-12)) ((-7.26956e-12 -4.83029e-12 3.60451e-16) (-1.24901e-12 4.84559e-12 -4.58093e-10)))
39	(((2.50131e-07 3.26776e-09 6.98063e-16) (4.44276e-07 -3.14903e-10 6.71258e-12)) ((-6.81546e-12 -4.85267e-12 3.54944e-16) (-1.26261e-12 4.7929e-12 -4.41577e-10)))
40	(((2.4884e-07 3.24566e-09 6.96109e-16) (4.30063e-07 -3.32686e-10 6.84369e-12)) ((-6.52403e-12 -4.91973e-12 3.44267e-16) (-1.26394e-12 4.71479e-12 -4.25895e-10)))
41	(((2.47557e-07 3.21707e-09 6.76582e-16) (4.1658e-07 -3.5215e-10 6.37179e-12)) ((-5.87418e-12 -4.95648e-12 3.37301e-16) (-1.29209e-12 4.63602e-12 -4.10979e-10)))
42	(((2.46355e-07 3.22218e-09 6.45654e-16) (4.03774e-07 -3.73265e-10 6.20208e-12)) ((-5.39727e-12 -5.00776e-12 3.27549e-16) (-1.31168e-12 4.56858e-12 -3.96778e-10)))
43	(((2.45063e-07 3.17911e-09 6.09366e-16) (3.91603e-07 -3.94887e-10 5.74218e-12)) ((-4.83927e-12 -4.98869e-12 3.22973e-16) (-1.32151e-12 4.51361e-12 -3.83201e-10)))
44	(((2.43909e-07 3.25021e-09 5.74053e-16) (3.80024e-07 -4.13649e-10 6.30669e-12)) ((-4.55081e-12 -4.85763e-12 3.12927e-16) (-1.31176e-12 4.42497e-12 -3.70311e-10)))
45	(((2.42714e-07 3.21725e-09 5.2531e-16) (3.69003e-07 -4.29297e-10 6.59649e-12)) ((-4.30697e-12 -4.76695e-12 3.11971e-16) (-1.28837e-12 4.32243e-12 -3.58031e-10)))
46	(((2.41578e-07 3.26037e-09 4.84911e-16) (3.58506e-07 -4.41823e-10 7.03563e-12)) ((-4.09469e-12 -4.70096e-12 3.03261e-16) (-1.27731e-12 4.21893e-12 -3.46342e-10)))
47	(((2.40456e-07 3.30684e-09 4.56481e-16) (3.48505e-07 -4.53194e-10 7.07049e-12)) ((-3.69012e-12 -4.55997e-12 3.01197e-16) (-1.29093e-12 4.09053e-12 -3.35159e-10)))
48	(((2.39419e-07 3.32552e-09 4.6383e-16) (3.38971e-07 -4.64706e-10 6.01295e-12)) ((-3.73226e-12 -4.53631e-12 2.93856e-16) (-1.23321e-12 3.99224e-12 -3.24464e-10)))
49	(((2.38402e-07 3.334e-09 4.45895e-16) (3.29876e-07 -4.77274e-10 5.20592e-12)) ((-3.493e-12 -4.45506e-12 2.90078e-16) (-1.23131e-12 3.90549e-12 -3.14227e-10)))
