# Time	forces(pressure, viscous) moment(pressure, viscous)
0.0983068	(((-2.40928e-05 -5.29897e-10 0) (-3.2865e-06 1.49875e-08 1.91139e-10)) ((2.00814e-10 2.56472e-11 7.30227e-10) (8.10417e-12 2.38712e-10 8.09706e-09)))
0.118088	(((-2.32278e-05 9.4701e-09 -1.80939e-10) (-3.05056e-06 1.09702e-07 1.32895e-09)) ((4.29745e-10 1.26993e-12 -1.40922e-10) (1.78747e-10 6.08079e-11 -1.45489e-09)))
0.138088	(((-2.07685e-05 -4.10725e-09 -3.52362e-09) (-2.67872e-06 7.75869e-08 3.23477e-09)) ((1.58228e-10 -9.11807e-11 -1.28474e-09) (4.3313e-10 1.00358e-10 3.13686e-09)))
0.158088	(((-1.87095e-05 3.38363e-09 -2.04788e-09) (-2.60718e-06 -1.788e-08 2.93245e-09)) ((-2.2878e-11 -1.21196e-10 3.33149e-11) (2.66087e-10 -1.36674e-10 6.09355e-11)))
0.178088	(((-1.70009e-05 6.30706e-09 0) (-2.66312e-06 -1.86609e-08 -8.39266e-10)) ((-9.91286e-12 -3.89505e-12 1.53517e-11) (9.70277e-10 -7.63108e-11 1.45877e-09)))
0.198088	(((-1.56281e-05 1.75304e-08 0) (-2.52465e-06 -1.50374e-07 -1.56211e-09)) ((1.76021e-10 -4.10754e-11 8.30731e-10) (4.59385e-10 -9.56576e-11 -5.38989e-09)))
0.218088	(((-1.43738e-05 -1.3143e-09 9.52538e-10) (-2.37964e-06 1.27453e-08 2.40436e-09)) ((4.28086e-10 -1.41928e-11 8.5813e-10) (-1.11735e-11 -5.72592e-11 1.89409e-09)))
0.238088	(((-1.29087e-05 2.24347e-08 8.49592e-11) (-2.16191e-06 5.28427e-08 1.22434e-09)) ((3.99142e-10 1.05185e-11 5.71816e-10) (6.25048e-11 6.05498e-12 -4.2192e-09)))
0.258088	(((-1.21683e-05 3.99949e-08 -1.7266e-09) (-2.25746e-06 8.1289e-09 1.14912e-09)) ((2.80238e-10 -6.60377e-13 5.07478e-10) (3.685e-10 -1.84967e-10 -7.53245e-09)))
0.278088	(((-1.15491e-05 2.20322e-10 3.56961e-11) (-2.30629e-06 1.38385e-08 -4.72768e-11)) ((2.29799e-10 5.88479e-12 5.31665e-11) (-5.17975e-11 2.91184e-11 3.65588e-09)))
0.298088	(((-1.10269e-05 -7.45215e-09 -2.55843e-09) (-2.33662e-06 4.64767e-08 -1.53505e-09)) ((-3.12851e-11 -9.85758e-11 -6.52665e-10) (-5.85701e-12 2.2429e-11 3.13806e-09)))
